Time period and codes,Total semi-durable goods,Clothing and footwear,Clothing materials,Garments,Other articles of clothing and clothing accessories,Shoes and other footwear,Household goods,Household textiles,Small electric household appliances,"Glassware, tableware and household appliances",Small tools and equipment,Transport,Spare parts and accessories for personal transport equipment,Recreation and culture,Recording media,"Games, toys and hobbies","Equipment for sport, camping and open-air recreation",Books,Miscellaneous,Electrical appliances for personal care,Other personal effects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011 Q3,"22,231","12,451",66,"9,611",931,"1,843","3,089",940,262,"1,054",833,"1,054","1,054","4,919","1,061","2,010","1,160",688,718,95,623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011 Q4,"28,439","15,802",52,"12,260","1,232","2,258","3,883","1,112",483,"1,275","1,013","1,072","1,072","6,613","1,560","2,569","1,303","1,181","1,069",266,803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012 Q1,"20,444","11,270",54,"8,656",893,"1,667","3,358",902,353,"1,130",973,"1,084","1,084","4,076",965,"1,648",825,638,656,93,563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012 Q2,"22,048","12,447",51,"9,510",987,"1,899","3,457",959,183,"1,221","1,094","1,147","1,147","4,272",990,"1,723","1,006",553,725,144,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012 Q3,"22,960","12,847",46,"9,806",959,"2,036","3,386",948,220,"1,199","1,019","1,214","1,214","4,802","1,106","1,837","1,214",645,711,104,607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012 Q4,"29,791","16,488",59,"12,625","1,293","2,511","4,009","1,158",398,"1,451","1,002","1,213","1,213","6,914","1,903","2,407","1,327","1,277","1,167",360,807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013 Q1,"21,785","12,040",129,"9,339",856,"1,716","3,402","1,010",197,"1,200",995,"1,250","1,250","4,292","1,063","1,696",896,637,801,127,674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013 Q2,"24,180","13,481",92,"10,363","1,042","1,984","3,754","1,053",322,"1,282","1,097","1,236","1,236","4,768","1,262","1,886","1,020",600,941,192,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013 Q3,"24,905","14,078",127,"10,721","1,062","2,168","3,483","1,050",273,"1,279",881,"1,254","1,254","5,056","1,361","1,951","1,066",678,"1,034",229,805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013 Q4,"31,362","17,730",122,"13,505","1,443","2,660","4,330","1,299",442,"1,549","1,040","1,240","1,240","6,606","1,646","2,579","1,197","1,184","1,456",382,"1,074",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014 Q1,"22,037","12,185",56,"9,348",972,"1,809","3,384","1,013",338,"1,129",904,"1,144","1,144","4,453","1,259","1,691",899,604,871,238,633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014 Q2,"24,505","14,043",71,"10,774","1,091","2,107","3,590","1,067",385,"1,248",890,"1,209","1,209","4,728","1,177","1,854","1,108",589,935,269,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014 Q3,"24,888","14,052",68,"10,694","1,088","2,202","3,736","1,101",460,"1,236",939,"1,312","1,312","4,947","1,184","1,903","1,148",712,841,156,685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014 Q4,"31,332","17,830",52,"13,685","1,391","2,702","4,362","1,392",442,"1,482","1,046","1,211","1,211","6,719","1,642","2,531","1,337","1,209","1,210",281,929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015 Q1,"22,625","12,517",11,"9,567","1,035","1,904","3,685","1,205",267,"1,226",987,"1,169","1,169","4,552","1,358","1,627",913,654,702,131,571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015 Q2,"25,455","14,562",9,"11,131","1,137","2,285","3,904","1,295",361,"1,263",985,"1,186","1,186","4,953","1,421","1,845","1,045",642,850,160,690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015 Q3,"26,519","15,018",10,"11,443","1,192","2,373","3,924","1,347",399,"1,222",956,"1,234","1,234","5,410","1,477","2,038","1,126",769,933,254,679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015 Q4,"34,315","19,094",12,"14,589","1,523","2,970","4,890","1,708",563,"1,456","1,163","1,364","1,364","7,487","1,936","3,008","1,296","1,247","1,480",381,"1,099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016 Q1,"24,379","13,193",6,"10,235","1,008","1,944","4,069","1,360",294,"1,277","1,138","1,337","1,337","4,939","1,327","1,787","1,115",710,841,256,585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016 Q2,"26,561","15,105",44,"11,654","1,155","2,252","3,988","1,387",258,"1,362",981,"1,385","1,385","5,181","1,313","1,947","1,290",631,902,268,634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016 Q3,"27,395","15,631",17,"12,182","1,094","2,338","4,249","1,471",295,"1,386","1,097","1,392","1,392","5,261","1,400","1,884","1,279",698,862,207,655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016 Q4,"35,555","19,824",37,"15,438","1,456","2,893","5,306","1,783",518,"1,744","1,261","1,405","1,405","7,817","2,220","2,709","1,653","1,235","1,203",334,869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017 Q1,"26,145","13,692",45,"10,637","1,006","2,004","4,550","1,659",281,"1,377","1,233","1,368","1,368","5,537","1,008","2,386","1,357",786,998,289,709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017 Q2,"28,555","15,339",57,"11,876","1,021","2,385","4,640","1,680",310,"1,476","1,174","1,362","1,362","6,191","1,321","2,677","1,513",680,"1,023",234,789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017 Q3,"29,617","16,001",57,"12,237","1,146","2,561","4,713","1,768",289,"1,500","1,156","1,343","1,343","6,523","1,344","2,753","1,603",823,"1,037",201,836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017 Q4,"36,944","19,785",53,"15,180","1,366","3,186","5,932","2,196",600,"1,867","1,269","1,343","1,343","8,592","1,573","3,677","1,918","1,424","1,292",182,"1,110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018 Q1,"27,056","14,026",7,"10,727","1,157","2,135","4,809","1,632",312,"1,498","1,367","1,306","1,306","6,067","1,331","2,578","1,339",819,848,199,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018 Q2,"28,368","15,900",9,"12,175","1,159","2,557","4,558","1,510",260,"1,549","1,239","1,299","1,299","5,625",801,"2,766","1,357",701,986,257,729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018 Q3,"29,853","16,442",16,"12,386","1,334","2,706","5,007","1,568",332,"1,572","1,535","1,293","1,293","6,212","1,347","2,819","1,280",766,899,144,755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018 Q4,"38,600","20,048",13,"15,297","1,504","3,234","5,891","1,930",469,"1,947","1,545","1,277","1,277","9,677","2,914","3,678","1,629","1,456","1,707",446,"1,261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 Q1,"28,113","14,538",91,"10,796","1,373","2,278","4,804","1,512",372,"1,579","1,341","1,310","1,310","6,556","1,028","2,642","2,078",808,905,161,744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 Q2,"31,165","16,446",95,"12,293","1,512","2,546","5,053","1,565",349,"1,698","1,441","1,326","1,326","7,200","1,319","2,833","2,262",786,"1,140",326,814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 Q3,"32,470","17,093",92,"12,675","1,641","2,685","5,311","1,578",626,"1,696","1,411","1,399","1,399","7,621","1,457","2,893","2,399",872,"1,046",180,866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 Q4,"39,980","20,902",89,"15,649","2,036","3,128","6,220","1,987",639,"2,059","1,535","1,346","1,346","9,492","1,813","3,634","2,454","1,591","2,020",877,"1,143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020 Q1,"26,182","13,078",98,"10,048","1,187","1,745","4,783","1,559",336,"1,523","1,365","1,359","1,359","6,255",964,"2,456","1,982",853,707,159,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020 Q2,"22,777","10,986",77,"8,530",916,"1,463","4,277","1,357",132,"1,478","1,310",823,823,"6,073","1,054","2,423","1,901",695,618,117,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020 Q3,"28,205","13,934",108,"10,452","1,318","2,056","5,386","1,892",415,"1,645","1,434","1,304","1,304","6,628",861,"2,770","2,306",691,953,307,646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020 Q4,"35,550","17,047",147,"12,637","1,660","2,603","6,854","2,250",899,"1,994","1,711",968,968,"9,458","1,412","3,600","3,019","1,427","1,223",500,723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021 Q1,"24,729","11,484",134,"8,826",918,"1,606","4,845","1,601",365,"1,490","1,389","1,304","1,304","6,424",992,"2,477","2,201",754,672,139,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021 Q2,"31,864","16,106",97,"12,128","1,458","2,423","5,865","1,974",537,"1,669","1,685","1,347","1,347","7,700",996,"2,910","3,039",755,846,139,707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021 Q3,"31,039","15,913",85,"11,942","1,457","2,429","5,406","1,877",488,"1,582","1,459","1,487","1,487","7,347",916,"2,759","2,767",905,886,130,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021 Q4,"39,750","20,630",127,"15,458","1,839","3,206","6,251","2,248",546,"1,920","1,537","1,354","1,354","9,819","1,221","3,539","3,411","1,648","1,696",601,"1,095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 Q1,"30,196","15,471",192,"11,549","1,361","2,369","5,171","1,985",367,"1,557","1,262","1,393","1,393","7,238",965,"2,732","2,613",928,923,131,792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 Q2,"33,417","17,693",129,"13,154","1,670","2,740","5,390","2,049",433,"1,631","1,277","1,457","1,457","7,695",945,"2,895","3,037",818,"1,182",249,933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 Q3,"32,756","17,498",162,"12,909","1,645","2,782","5,184","2,024",363,"1,597","1,200","1,395","1,395","7,622",895,"2,794","2,990",943,"1,057",138,919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 Q4,"41,838","22,411",161,"16,557","2,204","3,489","6,399","2,547",503,"1,965","1,384","1,387","1,387","9,983","1,121","3,521","3,728","1,613","1,658",474,"1,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,